lat,lon,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
39.667244,116.0567703,12.2791672,11.8416672,28.8821144,1108.44165,31,-10,41,25.166666,-2.0833335,25.166666,-2.0833335,581,221,2,146.7904816,466,8,466,8
39.5516319,116.2518463,12.1208334,12.0249996,29.3292675,1110.966919,30.5,-10.5,41,24.9500008,-2.3499999,24.9500008,-2.3499999,583,231,1,151.6949158,475,8,475,8
39.1344604,117.1537476,13.354167,10.3083334,26.4316235,1103.386231,31.5,-7.5,39,26.25,1.4666666,26.25,-0.8666667,570,206,4,133.9398499,425,21,425,21
39.530571,117.1291809,12.041667,11.2333336,27.6683083,1107.535889,30.5,-10.1000004,40.5999985,25.0333328,-2.2666669,25.0333328,-2.2666669,540,205,2,142.2029877,421,9,421,9
39.7143059,116.5427704,12,11.6999998,28.6764717,1109.166382,30.5,-10.3000002,40.7999992,24.8999996,-2.3833334,24.8999996,-2.3833334,556,215,2,145.7268524,441,9,441,9
39.7709122,116.5658188,12.1416664,11.6833334,28.7059784,1110.705811,30.7000008,-10,40.7000008,25.0666676,-2.25,25.0666676,-2.25,560,214,2,143.34935,439,9,439,9
39.8888474,116.7656479,11.7875004,11.7250004,28.5975609,1117.080444,30.2999992,-10.6999998,41,24.7833328,-2.7166667,24.7833328,-2.7166667,546,212,2,143.6183929,426,10,426,10
38.8516273,117.2551346,12.8791666,10.4749994,26.9974213,1093.724731,30.5,-8.3000002,38.7999992,25.5499992,-1.35,25.5499992,-1.35,542,191,5,131.6880493,400,21,400,21
39.415493,116.961853,12.4125004,11.4250002,28.2797031,1106.380493,30.6000004,-9.8000002,40.4000015,25.2666664,-1.9666667,25.2666664,-1.9666667,536,205,2,142.2831879,417,11,417,11
39.6280251,116.0418625,12.1333332,11.7333336,28.7581692,1101.961792,30.7000008,-10.1000004,40.8000031,24.9666672,-2.1333334,24.9666672,-2.1333334,581,222,2,147.5745697,467,9,467,9
39.5845413,117.2607422,11.9666672,11.25,27.7093601,1111.958374,30.2000008,-10.3999996,40.5999985,24.9166679,-2.45,24.9166679,-2.45,548,201,3,138.6513977,421,12,421,12
39.7879601,116.5951614,12.041667,11.6333332,28.6535301,1111.012695,30.5,-10.1000004,40.5999985,24.9500008,-2.3666668,24.9500008,-2.3666668,554,212,2,143.4901123,434,9,434,9
39.1575737,117.6143188,12.2333336,9.8000002,25.06394,1106.765015,29.8999996,-9.1999998,39.0999985,25.0666676,-2.1499999,25.0666676,-2.1499999,545,193,3,136.0375061,411,11,411,11
40.0289574,117.0841675,11.5,11.7333336,28.2730923,1128.00708,30.2000008,-11.3000002,41.5,24.6000004,-3.1666667,24.6000004,-3.1666667,540,198,3,136.4206238,408,13,408,13
39.424633,116.9615707,12.3999996,11.3500004,28.1637707,1106.037109,30.5,-9.8000002,40.2999992,25.25,-1.9666667,25.25,-1.9666667,536,206,2,142.8396912,418,11,418,11
38.6670113,117.5106277,12.8999996,9.3166666,24.5822334,1091.277466,30.2999992,-7.5999999,37.8999977,25.6166668,-1.2333333,25.6166668,-1.2333333,534,189,4,133.2808075,397,13,397,13
38.9649353,116.4590988,12.7375002,11.7750006,28.6496353,1119.281738,31.2000008,-9.8999996,41.0999985,25.6666679,-1.8,25.6666679,-1.8,495,185,2,143.4395752,388,11,388,11
